SOURCE_ID,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,absolute_magnitude
5817554269266881536,253.71313272380124,-64.38154615159993,1.2536411885412477,-5.119132905898791,-11.654895032194698,18.679556,2.1985378,28.18868963046648
5817554269267062656,253.70431417738232,-64.38079339076315,2.467431046643785,-4.776758536258109,-8.433033025291437,20.84713,1.2189178,28.885904696893768
5817554299314440960,253.6827366792258,-64.39354779498227,0.16632536921731492,-3.1993105069095376,-4.333015914031273,19.837149,1.0726337,33.732356185443756
5817554299314460544,253.68265856960576,-64.39030900543015,0.5127598416418657,-2.9238912036353026,-8.048806509553945,18.241295,0.93720055,29.691724837142097
5817554299314482432,253.65457806222832,-64.38647217721436,0.14191940626084323,-2.616837556240897,-4.883153649251237,18.340199,1.1954689,32.57998958903889
5817554299314484608,253.6881438789007,-64.38612317974491,0.44546811727427355,-2.6262907366761583,-5.729016959745479,19.796736,1.0513821,31.55265263119538
5817554299314501632,253.67204748866186,-64.3840428737634,0.1709884183690451,-2.811217934542767,-7.9338001137768135,18.760368,0.92824554,32.59553487148659
5817554299314519552,253.67260241103577,-64.38041225755853,0.42949768975000496,-5.578748502530372,-7.155935074984269,19.8219,1.0450954,31.65709525345347
5817554299314519680,253.65804353116212,-64.38032704245883,1.308452149782623,-2.734358413404695,11.941994105746378,19.174116,2.3283272,28.590326909260973
5817554299314536064,253.66264011044325,-64.37782992531685,0.5080353347577193,-2.6676547814716796,-0.4106708712494375,19.608082,0.9561367,31.07861222120121
5817554303610094464,253.68151623368,-64.3912345913359,0.3947934194333133,-2.8294684783163584,-7.4149926215147675,19.16804,0.8449745,31.186189796536773
4265002687895608832,283.3798420968217,-1.7805552640159783,1.0621476667231449,-1.9943605238265358,-6.112216247376821,20.431208,1.8531151,30.30028315983333
4265002687895629696,283.384375891094,-1.7753083969712993,0.09355362509194978,-2.615250473184128,-14.412582987607156,18.998367,2.2109127,34.143064206781
4265002687895642496,283.3758643239591,-1.7819056510575177,0.29423595342569236,-2.669640210365332,-3.8320056826450903,18.023075,2.504446,30.67959640795508
4265002687895675776,283.3813836633256,-1.7754514641056405,0.0397547138335651,-1.7702841457808067,-3.7735903412288363,20.065943,2.8230572,37.06899960617131
4265002687895725184,283.37700722138067,-1.7761937990226793,0.6280711043458229,-1.5572641227338797,-2.0218948010898243,20.057878,2.5971851,31.067834427830068
4265002687922768384,283.3796004957788,-1.7859082016720855,0.33413608409471046,-0.050465523215594,-0.3217872163384453,15.622094,2.8962383,28.002477261396123
4265002687922772864,283.37958315055226,-1.7840254369821362,0.29479671801887286,0.7547990673970283,-2.5540842272355384,17.763525,2.2116528,30.41591178815622
4265002687922775168,283.3816916365631,-1.781632404967627,0.43602043646776917,-0.10294160385571867,-2.3119678777349337,17.69653,2.1724663,29.49899516184191
4265002687922794880,283.37725138547194,-1.779045831437023,0.25575281466969724,-2.981819294019808,-5.485118441994264,17.833622,4.4324684,30.79451986871969
4265002687922795392,283.3830134506707,-1.7740155863314868,0.38902323683220774,-0.1525096718995817,-2.5225991763415414,18.281992,2.1880684,30.332114243421422
5901273657271426432,223.4798176853431,-50.978506315733554,0.24912300276071775,-4.055459899112177,-3.5623564071885756,18.338055,1.5451565,31.355985507240028
