HIP,RA_Numpy,DEC_Numpy,RA_Astropy,DEC_Astropy,RA_Direct,DEC_Direct,RA_Percent_Diff_Numpy_Astropy,DEC_Percent_Diff_Numpy_Astropy,RA_Percent_Diff_Numpy_Direct,DEC_Percent_Diff_Numpy_Direct
5510.0,17.6408,2.4444,17.6408,2.4445,17.64,2.4456,0.0002,0.0034,0.0047,0.0474
5550.0,17.7982,37.7264,17.7982,37.7264,17.7929,37.7242,0.0002,0.0002,0.0298,0.0058
5544.0,17.7762,31.4242,17.7762,31.4243,17.7783,31.4247,0.0002,0.0003,0.0121,0.0018
5477.0,17.5277,-57.691,17.5277,-57.6909,17.5308,-57.6944,0.0002,-0.0001,0.0177,-0.006
5571.0,17.8627,21.0387,17.8627,21.0388,17.8633,21.0347,0.0002,0.0004,0.0033,0.0191
5586.0,17.9116,30.088,17.9116,30.0881,17.915,30.0897,0.0002,0.0003,0.0188,0.0057
5594.0,17.9318,-2.2485,17.9318,-2.2484,17.9312,-2.2511,0.0002,-0.0037,0.0031,-0.1178
5688.0,18.2824,61.7035,18.2823,61.7035,18.2913,61.7058,0.0002,0.0001,0.0487,0.0039
5650.0,18.1424,45.3421,18.1423,45.3422,18.1417,45.3378,0.0002,0.0002,0.0039,0.0095
5679.0,18.2509,30.0597,18.2508,30.0597,18.2479,30.0642,0.0002,0.0003,0.0161,0.015
5947.0,19.1328,79.9057,19.1328,79.9058,19.1279,79.91,0.0001,0.0001,0.0254,0.0054
5636.0,18.0959,-30.8005,18.0959,-30.8004,18.0975,-30.8022,0.0002,-0.0003,0.0088,-0.0057
5661.0,18.1891,-37.8608,18.189,-37.8607,18.1892,-37.8564,0.0002,-0.0002,0.0005,-0.0116
5742.0,18.4348,24.5827,18.4347,24.5828,18.4371,24.5836,0.0002,0.0003,0.0126,0.0036
5737.0,18.4297,7.5746,18.4297,7.5747,18.4329,7.5753,0.0002,0.0011,0.0173,0.0089
5743.0,18.437,7.5836,18.4369,7.5837,18.4388,7.5783,0.0002,0.0011,0.0096,0.0698
5772.0,18.5222,28.5273,18.5222,28.5274,18.5208,28.5297,0.0002,0.0003,0.0075,0.0085
5778.0,18.5289,16.1332,18.5289,16.1332,18.5317,16.1336,0.0002,0.0005,0.0148,0.0028
5926.0,19.0456,71.7475,19.0456,71.7476,19.0504,71.7439,0.0001,0.0001,0.0252,0.0051
5799.0,18.5991,-7.9238,18.5991,-7.9237,18.6,-7.9231,0.0002,-0.0011,0.0046,-0.0096
5824.0,18.6773,6.9998,18.6773,6.9998,18.6767,6.9953,0.0002,0.0012,0.0034,0.064
5939.0,19.107,48.0825,19.107,48.0826,19.1021,48.0822,0.0002,0.0002,0.0257,0.0006
5862.0,18.7842,-45.5333,18.7842,-45.5332,18.7962,-45.5314,0.0002,-0.0002,0.0641,-0.0042
5936.0,19.0742,33.1129,19.0741,33.113,19.0783,33.1147,0.0002,0.0003,0.0219,0.0054
5993.0,19.2776,44.9039,19.2775,44.9039,19.2712,44.9019,0.0002,0.0002,0.0328,0.0043
5951.0,19.1543,-2.4952,19.1542,-2.4951,19.1512,-2.5003,0.0002,-0.0034,0.0157,-0.2036
6025.0,19.3527,31.7473,19.3527,31.7474,19.3504,31.7447,0.0002,0.0003,0.012,0.008
6261.0,20.1018,77.5711,20.1018,77.5712,20.0812,77.5706,0.0001,0.0001,0.1024,0.0007
6087.0,19.5388,47.4188,19.5388,47.4189,19.5425,47.4197,0.0001,0.0002,0.019,0.0019
5896.0,18.9301,-68.8738,18.9301,-68.8737,18.9421,-68.8761,0.0002,-0.0001,0.0631,-0.0034
6061.0,19.447,3.6105,19.4469,3.6106,19.45,3.6144,0.0002,0.0023,0.0155,0.1087
6140.0,19.6951,37.383,19.6951,37.3831,19.6958,37.3861,0.0002,0.0002,0.0037,0.0083
5992.0,19.2687,-66.3972,19.2687,-66.3971,19.265,-66.3981,0.0002,-0.0001,0.0194,-0.0013
6378.0,20.4781,76.2416,20.4781,76.2417,20.4963,76.2389,0.0,0.0001,0.0887,0.0036
6242.0,20.0275,58.2312,20.0275,58.2313,20.0204,58.2317,0.0001,0.0001,0.0354,0.0008
6193.0,19.8695,27.266,19.8695,27.2661,19.8667,27.2642,0.0002,0.0003,0.0145,0.0067
6312.0,20.274,64.6591,20.274,64.6592,20.2717,64.6583,0.0001,0.0001,0.0117,0.0011
6522.0,20.943,78.7287,20.943,78.7288,20.945,78.7258,0.0,0.0001,0.0095,0.0036
6283.0,20.1467,-3.2445,20.1467,-3.2444,20.1437,-3.2469,0.0002,-0.0026,0.0146,-0.0764
6272.0,20.1168,-11.2418,20.1168,-11.2417,20.1158,-11.2389,0.0002,-0.0007,0.0049,-0.026
6315.0,20.2771,28.7408,20.2771,28.7409,20.2808,28.7381,0.0001,0.0003,0.0184,0.0097
6411.0,20.581,45.5327,20.5809,45.5328,20.585,45.5289,0.0001,0.0002,0.0196,0.0083
6486.0,20.8262,58.1411,20.8262,58.1411,20.84,58.1431,0.0001,0.0001,0.0663,0.0034
6432.0,20.6535,1.7307,20.6535,1.7308,20.6542,1.7264,0.0002,0.0048,0.0033,0.2496
6427.0,20.6311,-19.0772,20.631,-19.0771,20.6271,-19.0814,0.0002,-0.0004,0.0194,-0.0222
6514.0,20.913,37.7129,20.9129,37.713,20.9192,37.715,0.0001,0.0002,0.0297,0.0055
6512.0,20.9018,34.2404,20.9018,34.2404,20.9062,34.2458,0.0001,0.0002,0.0211,0.016
6492.0,20.8501,20.4666,20.8501,20.4667,20.8537,20.4689,0.0001,0.0004,0.0176,0.0112
6685.0,21.4462,70.9835,21.4462,70.9836,21.4438,70.98,0.0001,0.0001,0.0116,0.0049
6692.0,21.4857,68.1258,21.4857,68.1259,21.4833,68.13,0.0001,0.0001,0.0112,0.0062
6502.0,20.8793,-30.9453,20.8793,-30.9452,20.8792,-30.9456,0.0002,-0.0003,0.0008,-0.0009
6686.0,21.4543,60.2371,21.4543,60.2372,21.4542,60.2353,0.0001,0.0001,0.0007,0.0031
6564.0,21.0841,-6.9151,21.084,-6.915,21.0858,-6.9147,0.0002,-0.0012,0.0084,-0.0048
6589.0,21.1645,-15.6608,21.1645,-15.6608,21.1658,-15.6603,0.0002,-0.0005,0.0062,-0.0036
6605.0,21.2032,-2.8477,21.2032,-2.8476,21.2029,-2.8486,0.0002,-0.0029,0.0014,-0.031
6669.0,21.4005,23.5142,21.4005,23.5143,21.3988,23.5117,0.0001,0.0004,0.0082,0.0107
6592.0,21.1681,-41.4926,21.1681,-41.4925,21.17,-41.4925,0.0002,-0.0002,0.009,-0.0001
6711.0,21.5744,43.4592,21.5744,43.4593,21.5775,43.4578,0.0001,0.0002,0.0143,0.0032
6702.0,21.536,34.5774,21.5359,34.5775,21.5363,34.5797,0.0001,0.0002,0.0013,0.0068
6595.0,21.1769,-44.5325,21.1768,-44.5324,21.1746,-44.5283,0.0002,-0.0002,0.0109,-0.0094
6670.0,21.4012,-14.6024,21.4012,-14.6023,21.405,-14.5989,0.0002,-0.0006,0.0175,-0.0237
6706.0,21.5624,19.1694,21.5624,19.1695,21.5638,19.1722,0.0001,0.0004,0.0063,0.0147
6732.0,21.6715,19.2416,21.6715,19.2417,21.6737,19.2403,0.0001,0.0004,0.0104,0.0068
6776.0,21.7692,34.3754,21.7692,34.3755,21.7758,34.3775,0.0001,0.0002,0.0304,0.0062
6813.0,21.905,45.4055,21.905,45.4056,21.9142,45.4067,0.0001,0.0002,0.0419,0.0025
6794.0,21.8614,41.103,21.8613,41.103,21.8608,41.1006,0.0001,0.0002,0.0025,0.0058
6751.0,21.7228,3.5403,21.7228,3.5404,21.7229,3.5353,0.0001,0.0024,0.0006,0.1413
6631.0,21.2751,-64.3676,21.275,-64.3675,21.2721,-64.3694,0.0002,-0.0001,0.0141,-0.0029
6748.0,21.7139,-13.0562,21.7139,-13.0561,21.715,-13.0567,0.0002,-0.0006,0.005,-0.0037
6823.0,21.9428,40.3349,21.9428,40.335,21.9458,40.3356,0.0001,0.0002,0.0137,0.0016
6759.0,21.7408,-32.5423,21.7408,-32.5422,21.7421,-32.5431,0.0002,-0.0003,0.0059,-0.0023
11767.0,37.8718,89.263,37.8741,89.263,37.9529,89.2642,0.0061,0.0001,0.214,0.0013
6822.0,21.9405,-10.9008,21.9404,-10.9007,21.9442,-10.9017,0.0002,-0.0008,0.0168,-0.0077
6868.0,22.0948,7.9584,22.0948,7.9585,22.0954,7.9614,0.0001,0.001,0.0027,0.0372
7078.0,22.7874,70.2615,22.7874,70.2616,22.8075,70.2647,0.0,0.0001,0.088,0.0045
7050.0,22.7236,66.0957,22.7235,66.0958,22.7179,66.0981,0.0001,0.0001,0.0248,0.0036
6867.0,22.0924,-43.315,22.0923,-43.3149,22.0913,-43.3183,0.0002,-0.0002,0.005,-0.0077
6888.0,22.1784,-33.7621,22.1784,-33.762,22.1804,-33.7636,0.0002,-0.0002,0.009,-0.0044
6981.0,22.4666,18.3574,22.4666,18.3575,22.4704,18.3556,0.0001,0.0005,0.0168,0.01
6960.0,22.4021,-21.6279,22.402,-21.6278,22.4004,-21.6294,0.0002,-0.0004,0.0074,-0.0074
7007.0,22.5409,6.1478,22.5409,6.1479,22.5462,6.1439,0.0001,0.0014,0.0236,0.0638
6952.0,22.3733,-46.7545,22.3732,-46.7544,22.3767,-46.7564,0.0002,-0.0002,0.0152,-0.0041
7016.0,22.5994,-26.2079,22.5993,-26.2079,22.5954,-26.2078,0.0002,-0.0003,0.0175,-0.0006
7097.0,22.8713,15.3441,22.8713,15.3442,22.8708,15.3458,0.0001,0.0005,0.002,0.0114
7251.0,23.367,58.3315,23.367,58.3315,23.3575,58.3275,0.0001,0.0001,0.0405,0.0068
7083.0,22.8081,-49.071,22.8081,-49.0709,22.8129,-49.0728,0.0002,-0.0002,0.021,-0.0037
7294.0,23.4799,59.234,23.4799,59.2341,23.4829,59.2319,0.0001,0.0001,0.0128,0.0035
7115.0,22.9155,-45.5776,22.9154,-45.5775,22.9129,-45.5756,0.0002,-0.0002,0.0112,-0.0046
7213.0,23.2384,-36.8681,23.2384,-36.868,23.2333,-36.8653,0.0002,-0.0002,0.0219,-0.0076
7321.0,23.5745,37.2391,23.5745,37.2392,23.5692,37.2372,0.0001,0.0002,0.0228,0.0051
7189.0,23.1487,-49.7265,23.1487,-49.7264,23.1512,-49.7278,0.0002,-0.0002,0.011,-0.0026
7276.0,23.4264,-7.0225,23.4263,-7.0224,23.4288,-7.0253,0.0001,-0.0012,0.0102,-0.0394
7557.0,24.3578,74.299,24.3578,74.2991,24.3438,74.3008,0.0,0.0001,0.0576,0.0025
7359.0,23.7079,18.4639,23.7078,18.4639,23.7046,18.4606,0.0001,0.0005,0.0138,0.0179
7345.0,23.6551,-15.676,23.6551,-15.6759,23.6575,-15.6761,0.0002,-0.0005,0.0102,-0.0006
7444.0,23.9645,41.0786,23.9645,41.0787,23.9688,41.0764,0.0001,0.0002,0.0178,0.0054
7361.0,23.7122,-31.8914,23.7121,-31.8914,23.7112,-31.8922,0.0002,-0.0003,0.0039,-0.0024
7493.0,24.1143,48.7255,24.1143,48.7256,24.1133,48.7228,0.0001,0.0002,0.004,0.0056
7436.0,23.9419,14.6591,23.9419,14.6592,23.9433,14.6614,0.0001,0.0006,0.0059,0.0157
7650.0,24.6279,73.0439,24.6279,73.044,24.6288,73.04,0.0,0.0001,0.0035,0.0054
7447.0,23.9787,17.4347,23.9786,17.4348,23.9783,17.4336,0.0001,0.0005,0.0014,0.0065
7513.0,24.1998,41.4116,24.1998,41.4117,24.1992,41.4056,0.0001,0.0002,0.0026,0.0145
7450.0,23.9942,-15.4011,23.9942,-15.401,23.9958,-15.4003,0.0001,-0.0005,0.0067,-0.0053
7387.0,23.8093,-58.1399,23.8093,-58.1399,23.8133,-58.1394,0.0002,-0.0001,0.0168,-0.0008
7617.0,24.5365,57.9803,24.5365,57.9804,24.5317,57.9775,0.0001,0.0001,0.0198,0.0048
7463.0,24.0345,-29.9091,24.0344,-29.909,24.035,-29.9075,0.0002,-0.0003,0.0022,-0.0053
